,importance
lowLevel.hfc.mean,810.101150141083
lowLevel.spectral_energyband_middle_high.mean,265.32293557410594
lowLevel.spectral_energy.mean,181.28675483135157
lowLevel.silence_rate_60dB.mean,175.50862920332293
lowLevel.spectral_complexity.mean,153.58390196284745
lowLevel.spectral_complexity.stdev,152.37228685169248
lowLevel.hfc.stdev,35.81540576284169
lowLevel.spectral_rms.mean,29.237222624215065
lowLevel.spectral_flux.mean,17.692570529761724
lowLevel.spectral_energy.stdev,15.768890871157055
lowLevel.spectral_energyband_middle_low.mean,12.378372948354809
lowLevel.spectral_energyband_middle_high.stdev,12.060676430832245
lowLevel.barkbands.mean.14,11.692416949590552
lowLevel.barkbands.mean.16,11.151779105086462
lowLevel.mfcc.mean.0,11.080778243282111
lowLevel.spectral_rms.stdev,10.644524126022588
lowLevel.spectral_energyband_middle_low.stdev,9.819584005730576
lowLevel.spectral_strongpeak.mean,8.808111320911848
lowLevel.barkbands.mean.10,8.739678297628416
lowLevel.barkbands.mean.25,7.666252965282183
lowLevel.barkbands.mean.26,6.450171091637458
lowLevel.barkbands.mean.15,5.376525044790469
lowLevel.barkbands.mean.20,5.085790906887269
lowLevel.spectral_energyband_high.mean,5.037510175272473
lowLevel.mfcc.stdev.9,4.879666500259191
lowLevel.barkbands.mean.19,4.843470494335634
lowLevel.barkbands.mean.22,4.667219911556458
lowLevel.barkbands.stdev.26,4.452758941275533
lowLevel.barkbands.stdev.8,4.162566367522231
lowLevel.barkbands.mean.11,4.125945835185121
lowLevel.barkbands.stdev.12,4.071539580472745
lowLevel.barkbands.stdev.6,3.7810778130224207
lowLevel.mfcc.stdev.7,3.7231261426204583
lowLevel.barkbands.mean.17,3.687901642289944
lowLevel.barkbands.mean.24,3.5821592818101635
lowLevel.spectral_decrease.mean,3.320664190367097
lowLevel.mfcc.stdev.8,3.139774549170397
lowLevel.barkbands.mean.6,3.008368294322281
lowLevel.pitch_instantaneous_confidence.stdev,2.8470973148796475
lowLevel.barkbands.mean.5,2.846950571562047
lowLevel.barkbands.mean.9,2.6624794717208715
sfx.tristimulus.stdev.1,2.5138253793411423
lowLevel.mfcc.stdev.10,2.4552213436109014
lowLevel.barkbands.mean.12,2.389133315955405
lowLevel.spectral_kurtosis.stdev,2.3670234417077154
lowLevel.barkbands.mean.7,2.290935533121228
lowLevel.spectral_skewness.stdev,2.2634018369572004
lowLevel.barkbands.mean.8,2.19561397509824
lowLevel.scvalleys.mean.1,2.0969804436317645
lowLevel.barkbands.stdev.11,1.9853875809494639
lowLevel.scvalleys.stdev.3,1.966277697159967
lowLevel.spectral_kurtosis.mean,1.6433133621540037
lowLevel.spectral_flatness_db.stdev,1.5724443529397831
lowLevel.scvalleys.mean.2,1.5110651231370866
lowLevel.mfcc.mean.8,1.4722870367622818
lowLevel.pitch.mean,1.4261289882124402
lowLevel.barkbands.stdev.7,1.3091763409174746
lowLevel.barkbands.mean.4,1.2905941114004236
lowLevel.barkbands.stdev.18,1.2796013250481337
lowLevel.barkbands.mean.18,1.229820908527472
lowLevel.mfcc.stdev.6,1.2198606671590824
sfx.tristimulus.stdev.0,1.1385771773493616
lowLevel.mfcc.stdev.0,1.09784614360251
lowLevel.pitch_salience.mean,1.0705022139736684
lowLevel.barkbands.mean.13,1.0629187081212876
lowLevel.sccoeffs.mean.2,1.0309807474259287
lowLevel.mfcc.stdev.12,1.0219521531107603
lowLevel.scvalleys.stdev.2,1.0119518271530978
lowLevel.barkbands_skewness.mean,0.9546000882692169
lowLevel.spectral_rolloff.mean,0.9301041479338892
lowLevel.spectral_strongpeak.stdev,0.928681164237787
lowLevel.mfcc.stdev.2,0.9278622455094592
lowLevel.spectral_spread.mean,0.9226059501379495
lowLevel.mfcc.stdev.5,0.9184274011786329
lowLevel.silence_rate_60dB.stdev,0.9011770282086218
lowLevel.mfcc.stdev.11,0.8861439822358079
lowLevel.barkbands.stdev.5,0.8428255979524693
lowLevel.spectral_skewness.mean,0.8247998035367345
lowLevel.sccoeffs.stdev.2,0.7967624477023492
lowLevel.scvalleys.mean.5,0.756330635456834
lowLevel.sccoeffs.mean.5,0.7520897642098134
lowLevel.scvalleys.stdev.1,0.732151510019321
lowLevel.scvalleys.stdev.5,0.7261107125959825
lowLevel.barkbands.stdev.13,0.6516142413893249
lowLevel.spectral_crest.stdev,0.6262853192019975
sfx.inharmonicity.stdev,0.6233828992699273
lowLevel.spectral_centroid.mean,0.6216810821206309
lowLevel.barkbands.stdev.17,0.6080325463844929
lowLevel.barkbands.stdev.4,0.5884884979168419
lowLevel.sccoeffs.mean.1,0.5856417893373873
lowLevel.barkbands.stdev.14,0.5759538748388877
lowLevel.pitch.stdev,0.5670150104851928
lowLevel.scvalleys.stdev.4,0.5620957914215978
lowLevel.barkbands_spread.stdev,0.5484515093266964
lowLevel.mfcc.mean.3,0.5464541122491937
lowLevel.mfcc.stdev.3,0.5322030488750897
lowLevel.barkbands.stdev.0,0.5247683501220308
lowLevel.barkbands.mean.23,0.5233439710573293
sfx.oddtoevenharmonicenergyratio.stdev,0.521524624171434
lowLevel.mfcc.stdev.4,0.5171663984947372
lowLevel.barkbands.stdev.9,0.4945577973994659
lowLevel.barkbands.stdev.3,0.4616514434746932
sfx.tristimulus.stdev.2,0.4574884383910103
lowLevel.sccoeffs.mean.3,0.44738316984148696
lowLevel.spectral_flatness_db.mean,0.440723362902645
lowLevel.barkbands_kurtosis.stdev,0.4360829212673707
lowLevel.barkbands.mean.21,0.431330852326937
lowLevel.pitch_salience.stdev,0.4261611411056947
lowLevel.barkbands.stdev.25,0.42314025516679976
lowLevel.scvalleys.mean.4,0.4169677657773718
lowLevel.barkbands_skewness.stdev,0.4142266341805225
lowLevel.sccoeffs.stdev.4,0.4017881426407257
lowLevel.spectral_energyband_low.mean,0.3894050634553423
lowLevel.mfcc.mean.12,0.3715719565952895
sfx.tristimulus.mean.2,0.35645849026332144
lowLevel.silence_rate_30dB.stdev,0.3512758399883751
lowLevel.barkbands.mean.3,0.3425713417964289
lowLevel.zerocrossingrate.mean,0.3411020180938067
lowLevel.barkbands.stdev.10,0.3399795399600407
lowLevel.sccoeffs.stdev.5,0.3376104804192437
lowLevel.spectral_spread.stdev,0.3367047672654735
lowLevel.mfcc.mean.6,0.3316644354199525
lowLevel.pitch_instantaneous_confidence.mean,0.32552690763259307
lowLevel.barkbands.mean.1,0.32324025344860274
lowLevel.sccoeffs.stdev.1,0.31015363677579444
lowLevel.spectral_centroid.stdev,0.308244069252396
lowLevel.sccoeffs.stdev.3,0.307151822024025
lowLevel.scvalleys.stdev.0,0.29990204246132635
lowLevel.sccoeffs.mean.4,0.2977876907461905
lowLevel.mfcc.mean.1,0.29083271880517714
lowLevel.scvalleys.mean.3,0.2784480410628021
lowLevel.barkbands.stdev.23,0.27305055696342606
lowLevel.mfcc.mean.10,0.2633189297048375
lowLevel.barkbands.stdev.16,0.25228994545614114
