,importance
lowLevel.hfc.mean,105.61830612053018
lowLevel.spectral_energyband_middle_high.mean,32.35030750298756
lowLevel.hfc.stdev,12.53212465400793
lowLevel.spectral_energy.mean,10.934454034846567
lowLevel.barkbands.mean.18,10.304514605424629
lowLevel.spectral_complexity.mean,9.36883890282843
lowLevel.barkbands.mean.17,8.081959451672446
lowLevel.spectral_complexity.stdev,5.279057442494377
lowLevel.spectral_energyband_middle_low.stdev,4.242727158165508
lowLevel.spectral_energyband_middle_high.stdev,3.8442426605943183
lowLevel.spectral_strongpeak.stdev,3.7548035543368314
lowLevel.spectral_energy.stdev,3.0609380974565283
lowLevel.spectral_energyband_middle_low.mean,2.927147289774439
lowLevel.pitch_instantaneous_confidence.stdev,2.7894531954589183
lowLevel.spectral_strongpeak.mean,2.6877161545126
lowLevel.barkbands.mean.16,2.3518410189390124
lowLevel.spectral_rms.mean,2.2913237367993133
lowLevel.barkbands.mean.15,2.2308004154838272
lowLevel.barkbands.stdev.26,2.214071582926408
lowLevel.sccoeffs.mean.5,2.1222425622399896
lowLevel.sccoeffs.mean.3,1.9718291990393482
lowLevel.barkbands.mean.26,1.6958706803416135
lowLevel.spectral_rms.stdev,1.6458472227168386
lowLevel.barkbands.stdev.25,1.4946144613204524
lowLevel.barkbands.mean.22,1.3993595981883118
lowLevel.barkbands.mean.13,1.3068591055634897
lowLevel.barkbands.stdev.9,1.215605381581554
lowLevel.sccoeffs.mean.2,1.136040381879866
lowLevel.barkbands.stdev.10,1.1356469908532745
lowLevel.barkbands.stdev.11,1.1342529088542506
lowLevel.scvalleys.mean.5,1.1292043937864946
lowLevel.sccoeffs.mean.4,1.0105572895845398
lowLevel.mfcc.stdev.8,1.0067939204309369
lowLevel.mfcc.stdev.7,0.9926598997808469
lowLevel.spectral_spread.mean,0.9786388112188433
lowLevel.spectral_flux.mean,0.9582090803523897
lowLevel.barkbands.mean.11,0.9432901507752831
lowLevel.barkbands.mean.20,0.8954492697739624
lowLevel.scvalleys.mean.4,0.8868439632060472
lowLevel.scvalleys.mean.3,0.7994914083828917
lowLevel.spectral_energyband_high.mean,0.6971854825678747
lowLevel.pitch.mean,0.6619120552277309
lowLevel.mfcc.stdev.2,0.6452832374816353
lowLevel.barkbands.stdev.8,0.616959825878439
lowLevel.mfcc.mean.0,0.5826746198144974
lowLevel.sccoeffs.stdev.2,0.5816267680420424
lowLevel.barkbands.mean.14,0.5655711014987901
lowLevel.barkbands.stdev.12,0.5643211068418168
lowLevel.barkbands.mean.8,0.5587245727874688
lowLevel.barkbands.mean.10,0.5573456651618471
lowLevel.barkbands.mean.12,0.5547418412534171
lowLevel.barkbands.mean.7,0.5409280893072719
lowLevel.mfcc.stdev.10,0.540865943657991
lowLevel.sccoeffs.stdev.1,0.5400451336972765
lowLevel.scvalleys.stdev.3,0.5202114559506299
lowLevel.scvalleys.stdev.4,0.4962570554780541
lowLevel.spectral_decrease.mean,0.495138227892312
lowLevel.barkbands.stdev.15,0.4683480164712819
lowLevel.pitch_salience.mean,0.44973654577188427
lowLevel.sccoeffs.stdev.3,0.44592605403158814
lowLevel.spectral_skewness.stdev,0.4448827358428389
lowLevel.barkbands_spread.stdev,0.4413387153726944
lowLevel.silence_rate_60dB.mean,0.4348680208604492
lowLevel.mfcc.stdev.0,0.4256311522622127
lowLevel.barkbands.mean.5,0.4176664210463059
lowLevel.mfcc.stdev.9,0.4089970209861349
lowLevel.barkbands.stdev.4,0.3932485725163133
sfx.inharmonicity.stdev,0.39272968530531216
lowLevel.barkbands.mean.25,0.39272522289684275
lowLevel.spectral_kurtosis.stdev,0.3828662507403351
lowLevel.scvalleys.stdev.1,0.3497830949345371
lowLevel.zerocrossingrate.mean,0.3436662754502322
lowLevel.silence_rate_60dB.stdev,0.3297716564629809
lowLevel.spectral_kurtosis.mean,0.30947945455409354
lowLevel.barkbands.mean.21,0.3086842745251488
lowLevel.barkbands.stdev.7,0.3082257206115173
sfx.oddtoevenharmonicenergyratio.mean,0.3043302422956913
sfx.tristimulus.stdev.1,0.30429927450677496
lowLevel.barkbands.mean.4,0.3007596458119224
lowLevel.scvalleys.stdev.5,0.3001690450582828
lowLevel.barkbands.stdev.6,0.29196491539187264
lowLevel.barkbands.stdev.18,0.28606641624719487
lowLevel.mfcc.stdev.3,0.2838777842189302
sfx.tristimulus.stdev.0,0.2812891150788346
lowLevel.sccoeffs.mean.1,0.27191495523948106
lowLevel.spectral_spread.stdev,0.27000063063314883
sfx.oddtoevenharmonicenergyratio.stdev,0.26889879274676787
lowLevel.mfcc.mean.3,0.26640899327685474
lowLevel.barkbands.stdev.3,0.26378597496659495
lowLevel.mfcc.stdev.11,0.24569495942705544
sfx.tristimulus.stdev.2,0.24351431646209676
lowLevel.barkbands.mean.24,0.24101910289027728
lowLevel.barkbands.mean.3,0.24014174449257553
lowLevel.spectral_rolloff.stdev,0.2365227561458596
lowLevel.barkbands.mean.19,0.2279486036277376
lowLevel.mfcc.mean.2,0.2278371012871503
lowLevel.mfcc.stdev.5,0.2139319583402539
lowLevel.barkbands.stdev.20,0.20833748579752864
lowLevel.pitch.stdev,0.20592489516639034
lowLevel.mfcc.stdev.6,0.20376727133407257
lowLevel.spectral_decrease.stdev,0.20128316021873616
lowLevel.dissonance.stdev,0.19941280438069953
lowLevel.barkbands.stdev.22,0.19599454779017833
lowLevel.barkbands.mean.9,0.19584084317466477
lowLevel.barkbands.stdev.13,0.19428083230741322
lowLevel.scvalleys.mean.0,0.18750672548776492
lowLevel.spectral_energyband_high.stdev,0.1869374043890275
lowLevel.scvalleys.mean.2,0.18607824757054914
lowLevel.barkbands.stdev.23,0.18513691022599232
lowLevel.spectral_flatness_db.mean,0.1799157060086145
lowLevel.sccoeffs.mean.0,0.17928790106088854
lowLevel.barkbands.stdev.5,0.17768285317288246
sfx.inharmonicity.mean,0.17524805391440168
lowLevel.mfcc.stdev.4,0.17092526195483515
lowLevel.mfcc.mean.1,0.16673497610463528
lowLevel.spectral_rolloff.mean,0.1663805326606962
lowLevel.pitch_instantaneous_confidence.mean,0.16620675361264148
lowLevel.spectral_flux.stdev,0.16600627180741867
lowLevel.barkbands.mean.6,0.16460180539434077
lowLevel.mfcc.mean.10,0.16400611783683416
lowLevel.barkbands.stdev.0,0.16203697250603
lowLevel.barkbands.stdev.17,0.16060638871203992
lowLevel.mfcc.mean.9,0.1590013364329934
lowLevel.mfcc.mean.7,0.15169979290658375
lowLevel.mfcc.mean.4,0.15140428921222338
lowLevel.zerocrossingrate.stdev,0.14962443218246335
lowLevel.mfcc.mean.8,0.14847408093373815
lowLevel.mfcc.mean.12,0.14692213008675026
lowLevel.mfcc.mean.11,0.146153252095246
lowLevel.mfcc.mean.5,0.14590647530349088
lowLevel.scvalleys.stdev.2,0.14362650962357293
lowLevel.sccoeffs.stdev.4,0.14061528445927252
lowLevel.spectral_crest.stdev,0.13978502429381479
lowLevel.dissonance.mean,0.13520381474882015
lowLevel.scvalleys.mean.1,0.1331765527247626
lowLevel.barkbands.mean.23,0.13125844852766022
sfx.tristimulus.mean.1,0.1297378077688336
lowLevel.spectral_skewness.mean,0.12955621680157492
lowLevel.barkbands.stdev.16,0.12918724168412155
lowLevel.mfcc.stdev.12,0.12171020995447179
lowLevel.barkbands.stdev.14,0.11590934921696316
lowLevel.mfcc.mean.6,0.11393879959359765
lowLevel.barkbands_skewness.mean,0.11141448088164907
lowLevel.barkbands.stdev.21,0.10720565496012568
lowLevel.scvalleys.stdev.0,0.1033400683045329
lowLevel.sccoeffs.stdev.5,0.10176500892339391
lowLevel.barkbands_skewness.stdev,0.09241225381538243
sfx.tristimulus.mean.2,0.09195551267475821
lowLevel.mfcc.stdev.1,0.09159006076515652
lowLevel.spectral_flatness_db.stdev,0.08928677996664192
lowLevel.barkbands.stdev.19,0.08867062556237215
lowLevel.spectral_centroid.mean,0.08281269731378416
lowLevel.barkbands_spread.mean,0.08188851333397906
lowLevel.barkbands_kurtosis.mean,0.07915538733504945
lowLevel.pitch_salience.stdev,0.07838567681028508
lowLevel.spectral_crest.mean,0.07645383069757372
lowLevel.barkbands.stdev.24,0.07622150406314177
sfx.tristimulus.mean.0,0.0750679584180034
lowLevel.spectral_energyband_low.stdev,0.060871806235809345
lowLevel.barkbands.mean.1,0.060086144680099096
lowLevel.barkbands.mean.0,0.05874718764425779
lowLevel.barkbands_kurtosis.stdev,0.057928298261685995
lowLevel.sccoeffs.stdev.0,0.05236509889073204
lowLevel.spectral_centroid.stdev,0.038857880237628706
lowLevel.barkbands.stdev.1,0.034583755645144265
lowLevel.spectral_energyband_low.mean,0.024944754906755406
lowLevel.barkbands.stdev.2,0.02052692994766403
lowLevel.barkbands.mean.2,0.016833704212331213
lowLevel.silence_rate_30dB.mean,0.003557923948392272
lowLevel.silence_rate_20dB.stdev,0.0
lowLevel.silence_rate_30dB.stdev,0.0
lowLevel.silence_rate_20dB.mean,0.0
