,importance
lowLevel.hfc.mean,64.85235531027871
lowLevel.spectral_energyband_middle_high.mean,48.78341069167618
lowLevel.spectral_energy.mean,13.881783216614789
lowLevel.hfc.stdev,10.983491554102471
lowLevel.barkbands.mean.18,10.50177201145209
lowLevel.spectral_complexity.stdev,10.054793821589556
lowLevel.barkbands.mean.17,9.721809622777982
lowLevel.spectral_complexity.mean,9.061570252570846
lowLevel.mfcc.stdev.10,7.725259308874229
lowLevel.spectral_strongpeak.mean,7.38398050373763
lowLevel.spectral_energyband_middle_low.mean,7.011586259676605
lowLevel.spectral_energyband_middle_high.stdev,5.221730893943459
lowLevel.sccoeffs.mean.5,4.868440792424053
lowLevel.sccoeffs.mean.4,4.762720472359433
lowLevel.mfcc.stdev.12,4.612629116816436
lowLevel.barkbands.mean.22,4.590314989168235
lowLevel.spectral_rms.mean,3.847752700584465
lowLevel.mfcc.stdev.7,3.8001660204572545
lowLevel.spectral_energyband_high.mean,3.766683121798451
lowLevel.mfcc.stdev.9,3.5706604939484237
lowLevel.spectral_decrease.stdev,3.3522986018631684
lowLevel.barkbands.mean.12,3.2554327836178345
lowLevel.mfcc.stdev.8,3.1048945196171243
lowLevel.spectral_flux.mean,2.8489132834995914
lowLevel.barkbands.mean.14,2.80383821599321
lowLevel.barkbands.mean.16,2.7706396412443155
lowLevel.spectral_decrease.mean,2.7493186553983975
lowLevel.mfcc.stdev.11,2.710995056260799
lowLevel.barkbands.stdev.15,2.6499691550106945
lowLevel.sccoeffs.mean.3,2.6196260138605454
lowLevel.mfcc.stdev.0,2.4754271397146113
lowLevel.mfcc.mean.0,2.248419396550844
lowLevel.spectral_energyband_middle_low.stdev,2.0523905997466727
lowLevel.barkbands.mean.20,1.815621820164779
lowLevel.barkbands.stdev.26,1.7626103832046738
lowLevel.silence_rate_60dB.mean,1.715563840057257
lowLevel.spectral_rms.stdev,1.6486898270704842
lowLevel.barkbands.mean.7,1.5255174296848963
lowLevel.barkbands.mean.23,1.4555828356487837
lowLevel.barkbands.mean.13,1.36583923393664
sfx.tristimulus.stdev.1,1.3383328398945196
lowLevel.pitch_instantaneous_confidence.stdev,1.318030204518891
lowLevel.mfcc.stdev.5,1.3082888804751747
lowLevel.barkbands.stdev.11,1.2811814403690462
lowLevel.barkbands.mean.24,1.2528130516766396
lowLevel.barkbands.stdev.9,1.24814710299961
lowLevel.barkbands.stdev.14,1.1999836746745132
lowLevel.barkbands.mean.10,1.1413132024860317
lowLevel.scvalleys.stdev.4,1.1172820165738813
lowLevel.barkbands.mean.8,1.116587176022847
lowLevel.barkbands.mean.5,1.0893345102583964
lowLevel.scvalleys.mean.5,1.073299448524267
lowLevel.sccoeffs.mean.2,1.02211661026789
lowLevel.barkbands.mean.26,1.0168519901972104
lowLevel.barkbands.stdev.12,1.0018957503010921
lowLevel.sccoeffs.stdev.3,0.9680134429718521
lowLevel.mfcc.stdev.4,0.9609402921608421
lowLevel.barkbands.stdev.0,0.9452410426162032
lowLevel.barkbands.mean.15,0.8993616644338545
lowLevel.mfcc.stdev.6,0.8847129304076589
sfx.oddtoevenharmonicenergyratio.stdev,0.8703831744691982
lowLevel.barkbands.mean.4,0.8589696160524909
lowLevel.barkbands_kurtosis.stdev,0.841107001509954
lowLevel.scvalleys.mean.1,0.8184653028506546
lowLevel.barkbands.mean.21,0.8022842217038573
lowLevel.barkbands.mean.19,0.7944424097369165
lowLevel.barkbands.stdev.16,0.7889763857554044
lowLevel.mfcc.mean.3,0.7877434876158986
lowLevel.spectral_crest.stdev,0.710934909080521
lowLevel.barkbands.stdev.13,0.6998055231744047
lowLevel.spectral_energyband_low.mean,0.6939370760503323
lowLevel.barkbands.stdev.3,0.6864402011742641
lowLevel.barkbands.stdev.22,0.6798077725946712
lowLevel.silence_rate_60dB.stdev,0.6774433548664547
lowLevel.spectral_energy.stdev,0.6634172924300401
lowLevel.barkbands.stdev.25,0.648616801742719
lowLevel.sccoeffs.mean.1,0.6471848200875456
lowLevel.barkbands.stdev.23,0.6378900954027245
lowLevel.pitch_instantaneous_confidence.mean,0.5946780885880614
lowLevel.barkbands.mean.1,0.5942015015370998
lowLevel.barkbands.stdev.4,0.5790480495461452
lowLevel.scvalleys.mean.4,0.5764126874494195
lowLevel.spectral_energyband_high.stdev,0.5751117247682114
lowLevel.spectral_rolloff.stdev,0.5702168911672061
lowLevel.barkbands.stdev.10,0.5668347129710583
lowLevel.spectral_kurtosis.mean,0.5651805556408362
lowLevel.barkbands.stdev.17,0.5594958955121001
lowLevel.spectral_strongpeak.stdev,0.5422826407817354
lowLevel.barkbands.stdev.2,0.5384540553809529
lowLevel.scvalleys.stdev.0,0.5299747628115483
lowLevel.barkbands.mean.25,0.5269631642167951
lowLevel.dissonance.mean,0.5165215320830612
sfx.tristimulus.stdev.0,0.5154279258065912
lowLevel.barkbands.stdev.1,0.5124667485865757
lowLevel.barkbands.mean.11,0.4945600372611807
lowLevel.scvalleys.stdev.1,0.48385190368628006
lowLevel.barkbands.mean.6,0.47754441632650924
sfx.oddtoevenharmonicenergyratio.mean,0.45993676663903216
lowLevel.spectral_energyband_low.stdev,0.456012633330829
lowLevel.barkbands_spread.stdev,0.41780076924260867
lowLevel.barkbands.stdev.18,0.4111314298934303
lowLevel.pitch.mean,0.40923820908213315
lowLevel.scvalleys.stdev.2,0.4075293319200455
lowLevel.scvalleys.stdev.3,0.3818018818128621
lowLevel.barkbands.mean.9,0.3817562357355655
lowLevel.mfcc.mean.1,0.377534260212542
lowLevel.pitch.stdev,0.3754663941564935
lowLevel.sccoeffs.mean.0,0.37051363086857236
lowLevel.mfcc.stdev.2,0.3649395545768357
lowLevel.barkbands.stdev.8,0.3546267736601294
lowLevel.barkbands_skewness.stdev,0.3517761004991371
lowLevel.barkbands.stdev.5,0.33380760122781794
lowLevel.barkbands.mean.0,0.3332249516263346
lowLevel.spectral_skewness.mean,0.3259805111646301
sfx.tristimulus.mean.1,0.32086473764218226
lowLevel.spectral_centroid.stdev,0.315436523476194
lowLevel.barkbands.stdev.20,0.3135942351295853
lowLevel.barkbands.stdev.7,0.3134234377366738
lowLevel.mfcc.mean.4,0.3105284292623054
lowLevel.barkbands.stdev.24,0.30341120717002923
lowLevel.barkbands.mean.3,0.30231277457232864
lowLevel.zerocrossingrate.stdev,0.2930237548129071
lowLevel.sccoeffs.stdev.2,0.2888106523926126
lowLevel.spectral_flux.stdev,0.28815184577172204
lowLevel.mfcc.stdev.3,0.27971020655149914
lowLevel.spectral_flatness_db.stdev,0.27736398681690844
lowLevel.spectral_centroid.mean,0.2754598552137395
sfx.tristimulus.mean.0,0.26955597320784364
lowLevel.barkbands.stdev.6,0.26508045991067775
lowLevel.dissonance.stdev,0.24508583379861193
lowLevel.mfcc.mean.8,0.24343753859452022
