,importance
lowLevel.spectral_energyband_middle_high.mean,186.42826781536132
lowLevel.hfc.mean,153.589320637926
lowLevel.spectral_energyband_middle_high.stdev,32.01703770698077
lowLevel.barkbands.mean.18,10.888841666230292
lowLevel.spectral_energyband_high.mean,6.20609364163829
lowLevel.mfcc.stdev.10,4.972181495395489
lowLevel.spectral_strongpeak.mean,4.666796817968134
lowLevel.scvalleys.mean.5,4.127028823349974
lowLevel.mfcc.stdev.12,4.118330754092312
lowLevel.mfcc.stdev.9,3.675965260656085
lowLevel.spectral_strongpeak.stdev,3.215274486668932
lowLevel.barkbands.mean.11,2.9185272031463683
lowLevel.spectral_complexity.mean,2.7136520851709065
lowLevel.scvalleys.mean.4,2.520640321461542
lowLevel.mfcc.stdev.8,2.5034171701408923
lowLevel.mfcc.stdev.11,2.435696857057337
lowLevel.spectral_energy.mean,2.0794160838995595
lowLevel.mfcc.stdev.7,2.0532439370363136
lowLevel.barkbands.mean.5,1.9619657169678248
lowLevel.silence_rate_60dB.mean,1.9602571803479805
lowLevel.barkbands.mean.4,1.637144491163781
lowLevel.barkbands.stdev.11,1.4822992704503122
lowLevel.barkbands.mean.17,1.4594842626102036
lowLevel.barkbands.stdev.4,1.4120094781828811
lowLevel.spectral_energyband_middle_low.mean,1.4039415202569216
lowLevel.barkbands.stdev.3,1.2881301969027845
lowLevel.spectral_rms.mean,1.2828527632518671
lowLevel.barkbands.mean.23,1.1256808847247157
lowLevel.barkbands.stdev.9,0.9337080918776337
lowLevel.pitch_instantaneous_confidence.stdev,0.924700710864272
lowLevel.barkbands.stdev.7,0.9025358902581502
lowLevel.spectral_complexity.stdev,0.891232480891631
lowLevel.mfcc.stdev.2,0.8632112069171853
lowLevel.sccoeffs.mean.5,0.8389765521787922
lowLevel.hfc.stdev,0.8199341531653772
lowLevel.barkbands.mean.24,0.7962728996499209
lowLevel.spectral_skewness.stdev,0.7819157677367912
lowLevel.mfcc.mean.8,0.7269836050982121
lowLevel.scvalleys.stdev.1,0.6732914443637128
lowLevel.barkbands.stdev.10,0.6700152078119572
lowLevel.barkbands.mean.21,0.6637438783945981
lowLevel.barkbands.mean.3,0.6313785144739086
lowLevel.spectral_kurtosis.stdev,0.6258131796348607
lowLevel.scvalleys.stdev.4,0.6226789815918892
sfx.tristimulus.mean.2,0.6043663473246852
lowLevel.sccoeffs.mean.3,0.5875327846224536
lowLevel.sccoeffs.mean.4,0.5855972301651491
lowLevel.spectral_skewness.mean,0.5819768229848705
lowLevel.sccoeffs.mean.2,0.5540362014289713
lowLevel.mfcc.stdev.5,0.5417411133239511
lowLevel.mfcc.stdev.6,0.5183113288439927
lowLevel.scvalleys.stdev.2,0.5022823058243375
lowLevel.spectral_spread.stdev,0.45773684772575507
