,importance
lowLevel.hfc.mean,265.89070386324966
lowLevel.hfc.stdev,87.46791121876595
lowLevel.spectral_energy.mean,43.196602804469876
lowLevel.spectral_energy.stdev,24.754949727328494
lowLevel.spectral_complexity.mean,11.12794734250383
lowLevel.spectral_energyband_middle_low.stdev,8.201223809301155
lowLevel.spectral_energyband_middle_low.mean,7.445843538560439
lowLevel.spectral_complexity.stdev,7.096360475581605
lowLevel.barkbands.stdev.25,5.432856421037286
lowLevel.spectral_energyband_middle_high.stdev,5.312577707998571
lowLevel.spectral_energyband_middle_high.mean,4.349510039901361
lowLevel.barkbands.mean.18,4.301837554106896
lowLevel.spectral_strongpeak.stdev,4.000545427843463
lowLevel.barkbands.stdev.26,3.7814646163606085
lowLevel.spectral_energyband_high.mean,2.8431569626409328
lowLevel.barkbands.mean.26,2.6651985154894646
lowLevel.spectral_rms.stdev,2.4811895547172753
lowLevel.scvalleys.stdev.4,2.4722964305401547
lowLevel.sccoeffs.stdev.2,2.423415847326396
lowLevel.mfcc.stdev.0,2.399079458671622
lowLevel.pitch_instantaneous_confidence.stdev,2.378867142411764
lowLevel.spectral_skewness.stdev,1.9204386972123757
lowLevel.sccoeffs.mean.2,1.8094266381376656
lowLevel.barkbands.mean.11,1.7829516870551743
lowLevel.spectral_kurtosis.stdev,1.7510600081877783
lowLevel.mfcc.stdev.2,1.7061371083909762
lowLevel.barkbands.stdev.12,1.639242568606278
lowLevel.spectral_spread.mean,1.6129128712491365
lowLevel.spectral_strongpeak.mean,1.5790063039021334
lowLevel.barkbands.mean.17,1.5538816327316454
lowLevel.mfcc.stdev.9,1.5523271933670912
lowLevel.zerocrossingrate.stdev,1.460485482122749
lowLevel.scvalleys.stdev.2,1.4450641763978638
lowLevel.mfcc.stdev.8,1.4432578464620747
lowLevel.sccoeffs.mean.4,1.2767161876690807
lowLevel.silence_rate_60dB.mean,1.1958023048355244
lowLevel.sccoeffs.mean.3,1.0696778563906264
lowLevel.barkbands.mean.20,1.0682791850704234
lowLevel.scvalleys.stdev.3,1.053941206075251
lowLevel.barkbands.stdev.9,1.0349635594320716
lowLevel.spectral_kurtosis.mean,1.0243208284518914
lowLevel.barkbands.stdev.11,1.0164634807151742
lowLevel.barkbands.stdev.10,0.9111587591469288
lowLevel.barkbands.mean.5,0.8356975816132035
lowLevel.sccoeffs.mean.5,0.8200236973498249
lowLevel.mfcc.stdev.10,0.8045363092387561
lowLevel.barkbands.stdev.5,0.715235929004848
lowLevel.spectral_centroid.mean,0.7150990508380346
lowLevel.barkbands.mean.4,0.7099220828677062
lowLevel.barkbands.mean.25,0.6987670089292806
lowLevel.mfcc.stdev.11,0.6979120897121902
lowLevel.barkbands.stdev.7,0.6540464966674335
