,importance
lowLevel.hfc.mean,1158.3525779595366
lowLevel.spectral_energyband_middle_high.mean,133.89418428670615
lowLevel.spectral_complexity.stdev,33.265603492734954
lowLevel.spectral_energy.mean,31.09335936885327
lowLevel.hfc.stdev,20.4733168061357
lowLevel.barkbands.stdev.8,10.467917212983593
lowLevel.spectral_complexity.mean,8.538545786519535
lowLevel.spectral_energyband_middle_low.mean,6.106607164954767
lowLevel.spectral_energyband_middle_low.stdev,5.876533002592623
lowLevel.barkbands.stdev.11,5.0648541687987745
lowLevel.spectral_strongpeak.mean,4.825749276438728
lowLevel.barkbands.stdev.6,3.635668817907572
lowLevel.silence_rate_60dB.mean,3.537530646659434
lowLevel.barkbands.stdev.12,3.2512713773176074
lowLevel.barkbands.mean.12,2.692260809475556
lowLevel.barkbands.mean.17,2.5327944927848876
lowLevel.spectral_rms.mean,2.236877605319023
lowLevel.barkbands.stdev.7,2.139962167479098
lowLevel.mfcc.mean.0,1.9555927005130798
lowLevel.mfcc.stdev.8,1.9191805897280574
lowLevel.barkbands.mean.24,1.9071298358030617
lowLevel.barkbands.mean.11,1.8561957320198417
lowLevel.mfcc.stdev.10,1.7735081049613655
lowLevel.spectral_energyband_middle_high.stdev,1.5881606373004615
lowLevel.barkbands.stdev.26,1.4685078612528741
lowLevel.spectral_skewness.stdev,1.2955703597981483
lowLevel.mfcc.stdev.9,1.2461216249503195
lowLevel.barkbands.stdev.9,1.224149291869253
lowLevel.pitch_instantaneous_confidence.stdev,0.9879952853079885
lowLevel.barkbands.mean.4,0.946269930107519
lowLevel.sccoeffs.mean.2,0.9458890329115093
lowLevel.pitch.mean,0.9357162949163467
lowLevel.barkbands.mean.8,0.9055808847770095
lowLevel.scvalleys.stdev.3,0.8803317840211093
lowLevel.barkbands.mean.25,0.8790608553681523
sfx.tristimulus.stdev.2,0.8758988776244223
lowLevel.mfcc.stdev.11,0.8216255174484104
lowLevel.sccoeffs.stdev.2,0.7977496960666031
sfx.tristimulus.stdev.0,0.7588817363139242
lowLevel.barkbands.mean.26,0.7268322315067053
sfx.tristimulus.stdev.1,0.7023937606718391
