,importance
lowLevel.hfc.mean,413.8880550754965
lowLevel.spectral_energyband_middle_high.stdev,56.12612760694708
lowLevel.spectral_energyband_middle_high.mean,43.35516209230366
lowLevel.spectral_complexity.mean,40.584446918327075
lowLevel.spectral_energy.mean,13.29718324301038
lowLevel.spectral_complexity.stdev,11.150355788553497
lowLevel.spectral_rms.mean,10.177787804828824
lowLevel.hfc.stdev,6.62179784037869
lowLevel.mfcc.mean.0,3.675804895959402
lowLevel.spectral_strongpeak.mean,3.4263023189467106
lowLevel.barkbands.stdev.11,3.424001926221308
lowLevel.barkbands.mean.12,2.020764387195868
lowLevel.barkbands.mean.21,1.9393359055491146
lowLevel.barkbands.mean.17,1.075327654190687
lowLevel.barkbands.mean.23,0.9808478637380631
lowLevel.barkbands.mean.11,0.956365386979229
lowLevel.barkbands.mean.22,0.6648093416824281
lowLevel.barkbands.mean.8,0.6176214015804362
lowLevel.mfcc.stdev.9,0.5849339094789343
lowLevel.barkbands.mean.26,0.5678726238508602
lowLevel.sccoeffs.mean.2,0.5602048249574949
lowLevel.spectral_energyband_middle_low.mean,0.5142673783657301
lowLevel.mfcc.stdev.7,0.4431256186403516
lowLevel.barkbands.mean.24,0.43853812697091143
lowLevel.barkbands.stdev.5,0.40777727636327654
lowLevel.spectral_energyband_middle_low.stdev,0.3928743095691516
lowLevel.barkbands.stdev.7,0.39182400622348723
lowLevel.spectral_decrease.mean,0.3662349830730136
lowLevel.barkbands.mean.7,0.344803851600318
sfx.tristimulus.stdev.1,0.3266411096199704
lowLevel.scvalleys.mean.5,0.3086677909116773
lowLevel.barkbands.mean.13,0.2946013342181004
sfx.tristimulus.stdev.0,0.29226156926370095
lowLevel.barkbands.stdev.8,0.289100609165132
lowLevel.spectral_skewness.stdev,0.27846165903787323
lowLevel.barkbands.mean.15,0.2564483814558116
lowLevel.sccoeffs.mean.1,0.2551612464089601
lowLevel.spectral_kurtosis.mean,0.25048899009038905
lowLevel.barkbands.stdev.17,0.2423059238322196
lowLevel.mfcc.stdev.8,0.24139677892014788
lowLevel.barkbands.mean.18,0.23548007505257829
lowLevel.sccoeffs.mean.3,0.22560673836841438
lowLevel.barkbands.stdev.18,0.2232579626199822
lowLevel.spectral_skewness.mean,0.21836826837477474
lowLevel.barkbands.stdev.12,0.2175556358216113
lowLevel.spectral_kurtosis.stdev,0.20667148141816938
lowLevel.scvalleys.mean.4,0.20571600010475777
lowLevel.barkbands.mean.9,0.19044418967615684
lowLevel.sccoeffs.stdev.2,0.1783241644779423
lowLevel.barkbands_skewness.mean,0.1745139918691052
sfx.tristimulus.mean.2,0.16992682315657248
lowLevel.spectral_flux.mean,0.1643504320263105
lowLevel.barkbands.stdev.9,0.15989209412816763
lowLevel.spectral_energy.stdev,0.15267251291775352
lowLevel.pitch_instantaneous_confidence.mean,0.14963682579497117
lowLevel.pitch_instantaneous_confidence.stdev,0.14537991313912357
lowLevel.barkbands.stdev.10,0.1431626973921425
lowLevel.barkbands.mean.16,0.1410677531633837
lowLevel.mfcc.stdev.2,0.13840962297354054
lowLevel.mfcc.mean.8,0.1308811312339344
sfx.tristimulus.stdev.2,0.12261247837669487
lowLevel.spectral_strongpeak.stdev,0.1220743680950136
lowLevel.spectral_rms.stdev,0.12174031336647317
lowLevel.pitch_salience.stdev,0.12114048567360669
lowLevel.silence_rate_60dB.mean,0.1196111345469717
lowLevel.barkbands.stdev.6,0.1188336362621385
lowLevel.mfcc.mean.12,0.11863621987725992
lowLevel.sccoeffs.mean.5,0.11672943033971706
lowLevel.spectral_spread.stdev,0.11454911603217965
lowLevel.spectral_crest.stdev,0.10715235806208057
sfx.oddtoevenharmonicenergyratio.mean,0.1059200459226588
lowLevel.spectral_energyband_high.mean,0.10418689725111108
lowLevel.barkbands_skewness.stdev,0.09952773350553912
lowLevel.mfcc.stdev.10,0.09387747403616231
lowLevel.spectral_spread.mean,0.09152457387483537
lowLevel.mfcc.mean.1,0.08937803723330262
lowLevel.barkbands.mean.10,0.07617066451535948
lowLevel.dissonance.stdev,0.07611805613640854
lowLevel.barkbands.stdev.22,0.07480092303285346
lowLevel.mfcc.stdev.6,0.07432511622556603
lowLevel.mfcc.stdev.4,0.07217973739577133
lowLevel.sccoeffs.stdev.3,0.06759605550809056
lowLevel.barkbands.mean.5,0.06705033950566985
lowLevel.barkbands.mean.20,0.0668945321305614
lowLevel.barkbands.stdev.4,0.06570852002198535
sfx.oddtoevenharmonicenergyratio.stdev,0.06533589026338404
lowLevel.scvalleys.stdev.4,0.06415575437142707
lowLevel.sccoeffs.stdev.4,0.06341151535806944
lowLevel.barkbands.stdev.13,0.061690310321750985
sfx.inharmonicity.mean,0.06139579810246687
lowLevel.mfcc.mean.5,0.06054955123111938
lowLevel.barkbands.stdev.15,0.05989100461243879
lowLevel.mfcc.stdev.11,0.059764129519550124
lowLevel.silence_rate_60dB.stdev,0.05631846649083627
lowLevel.barkbands.mean.6,0.05616724028340059
lowLevel.mfcc.stdev.3,0.05560473488428386
lowLevel.spectral_decrease.stdev,0.05441281913977036
lowLevel.barkbands.mean.4,0.053337276308241144
lowLevel.barkbands.stdev.20,0.05320918285354992
lowLevel.scvalleys.stdev.1,0.05225469468882693
lowLevel.mfcc.mean.11,0.05200212885466726
lowLevel.scvalleys.mean.2,0.05036180677052471
lowLevel.scvalleys.mean.3,0.050272004219436894
lowLevel.spectral_crest.mean,0.04997145215011756
lowLevel.sccoeffs.stdev.5,0.04914041592257945
lowLevel.pitch_salience.mean,0.048341651542969544
lowLevel.mfcc.stdev.0,0.04364832729818602
lowLevel.pitch.mean,0.042927193258265106
lowLevel.mfcc.mean.10,0.042167901133950636
lowLevel.barkbands.stdev.25,0.04165061222715849
lowLevel.dissonance.mean,0.03936971654334798
sfx.inharmonicity.stdev,0.03931244960008229
lowLevel.spectral_rolloff.stdev,0.03924591527629673
lowLevel.mfcc.mean.7,0.03872163106552762
lowLevel.barkbands.mean.19,0.03793262726239277
lowLevel.spectral_flatness_db.stdev,0.037739914879125536
lowLevel.spectral_centroid.stdev,0.036439950178362324
lowLevel.sccoeffs.mean.4,0.035787718904316534
lowLevel.mfcc.stdev.12,0.03567401776678025
lowLevel.barkbands_kurtosis.stdev,0.0354321504797781
lowLevel.mfcc.stdev.5,0.03451354965761766
lowLevel.barkbands.stdev.0,0.03318096202264087
lowLevel.mfcc.mean.3,0.0314896321907554
lowLevel.sccoeffs.stdev.1,0.03050954369072656
lowLevel.barkbands.stdev.14,0.029429705493555502
sfx.tristimulus.mean.0,0.028561431976925178
lowLevel.barkbands.mean.25,0.028369093411384938
lowLevel.mfcc.mean.6,0.028268350896837546
lowLevel.mfcc.mean.4,0.02736529529715881
lowLevel.scvalleys.mean.1,0.027283061787386487
lowLevel.barkbands.mean.0,0.026868705942305837
lowLevel.scvalleys.stdev.0,0.026362106306692112
lowLevel.mfcc.mean.9,0.026162145387274904
lowLevel.scvalleys.stdev.5,0.02599417549942018
lowLevel.zerocrossingrate.mean,0.02590681410504203
lowLevel.barkbands.mean.1,0.024528526203084766
sfx.tristimulus.mean.1,0.024088313613262358
lowLevel.mfcc.mean.2,0.023989340366412648
lowLevel.pitch.stdev,0.02346554134757639
lowLevel.barkbands.stdev.26,0.023254568273273435
lowLevel.barkbands.stdev.23,0.023074550536705374
lowLevel.scvalleys.stdev.3,0.021367668782261262
lowLevel.barkbands.stdev.24,0.021102851685384394
lowLevel.mfcc.stdev.1,0.020853020782084286
lowLevel.sccoeffs.stdev.0,0.020052101666152566
lowLevel.barkbands.stdev.2,0.01974569421497563
lowLevel.spectral_energyband_high.stdev,0.018731387168202218
lowLevel.barkbands_spread.stdev,0.018503456943051333
lowLevel.sccoeffs.mean.0,0.017382067666318335
lowLevel.barkbands.stdev.1,0.017198113353060762
lowLevel.barkbands.mean.2,0.016652470553879084
lowLevel.barkbands_kurtosis.mean,0.015801389648032682
lowLevel.barkbands.stdev.16,0.01447977627216801
lowLevel.zerocrossingrate.stdev,0.014083894757021653
lowLevel.barkbands_spread.mean,0.013979179947341436
lowLevel.scvalleys.mean.0,0.01339894194583735
lowLevel.barkbands.mean.14,0.01271692005082059
lowLevel.spectral_flatness_db.mean,0.01132624613291
lowLevel.silence_rate_30dB.mean,0.01109201907638635
lowLevel.barkbands.stdev.19,0.010154178090516552
lowLevel.spectral_rolloff.mean,0.009448067975142749
lowLevel.scvalleys.stdev.2,0.008933964294897123
lowLevel.silence_rate_30dB.stdev,0.008344698151176999
lowLevel.spectral_flux.stdev,0.006889363747433208
lowLevel.spectral_centroid.mean,0.005763954815108718
lowLevel.barkbands.stdev.3,0.005431489928469091
lowLevel.barkbands.stdev.21,0.005399776811373158
lowLevel.spectral_energyband_low.stdev,0.004790894818540892
lowLevel.spectral_energyband_low.mean,0.0044525866864546515
lowLevel.barkbands.mean.3,0.004449009882719679
lowLevel.silence_rate_20dB.mean,1.6415600839536637e-05
lowLevel.silence_rate_20dB.stdev,0.0
