,importance
lowLevel.barkbands.mean.18,109.40680471481755
lowLevel.spectral_energyband_middle_high.mean,99.99283068953082
lowLevel.barkbands.mean.17,81.49796037748456
lowLevel.spectral_energyband_middle_high.stdev,72.03059122897685
lowLevel.hfc.mean,45.38721189647913
lowLevel.spectral_strongpeak.stdev,15.40064090047963
lowLevel.mfcc.stdev.10,15.225286919856444
lowLevel.spectral_strongpeak.mean,14.820871067466214
lowLevel.mfcc.stdev.8,12.584391630953178
lowLevel.mfcc.stdev.9,10.135305498261005
lowLevel.spectral_energyband_high.mean,9.212823566514999
lowLevel.hfc.stdev,8.989604172063991
lowLevel.mfcc.stdev.11,8.750189859420061
lowLevel.scvalleys.mean.5,8.510841539362445
lowLevel.mfcc.stdev.12,7.933957677334547
lowLevel.sccoeffs.mean.5,7.834946645656601
lowLevel.barkbands.stdev.3,6.28807567525655
lowLevel.sccoeffs.mean.4,6.177336669526994
lowLevel.barkbands.mean.3,6.057183271273971
lowLevel.barkbands.stdev.15,5.8941316024865955
lowLevel.spectral_kurtosis.mean,5.891786598134786
lowLevel.sccoeffs.mean.3,5.793806986068375
lowLevel.scvalleys.stdev.3,5.687521060695872
lowLevel.barkbands.mean.20,5.584278246155009
lowLevel.barkbands.mean.16,5.229505219496787
lowLevel.barkbands.mean.4,4.939919665455818
lowLevel.spectral_complexity.mean,4.79875226598233
lowLevel.mfcc.stdev.7,4.554819147568196
lowLevel.silence_rate_60dB.mean,4.240212617907673
lowLevel.barkbands.stdev.4,4.037295803660527
lowLevel.barkbands.mean.23,3.8576152743771672
lowLevel.silence_rate_60dB.stdev,3.602472832193598
lowLevel.barkbands.mean.19,3.2306334041059017
lowLevel.spectral_spread.mean,3.197150898631662
lowLevel.barkbands.mean.10,3.161375730764121
lowLevel.scvalleys.stdev.2,2.917929079849273
lowLevel.spectral_kurtosis.stdev,2.831290904665366
lowLevel.barkbands.mean.11,2.6890801035333425
lowLevel.scvalleys.stdev.1,2.617498150561005
lowLevel.mfcc.mean.0,2.5816622879356146
lowLevel.barkbands.mean.26,2.3472798974253237
lowLevel.pitch_instantaneous_confidence.stdev,2.304182707797736
lowLevel.scvalleys.stdev.4,2.2685541631653905
lowLevel.barkbands.mean.21,2.1356623615138233
lowLevel.zerocrossingrate.mean,2.094517763471231
lowLevel.mfcc.mean.8,2.0007765168556944
lowLevel.mfcc.stdev.0,1.9875929440604523
lowLevel.spectral_energyband_middle_low.mean,1.9597457069903612
lowLevel.barkbands.mean.24,1.8972800681367517
lowLevel.sccoeffs.mean.2,1.8820612359559163
lowLevel.spectral_complexity.stdev,1.878250994719565
lowLevel.barkbands.stdev.11,1.7840832138899714
lowLevel.barkbands.mean.22,1.7582950233481824
lowLevel.spectral_energy.mean,1.6760760555043817
lowLevel.barkbands.stdev.9,1.6362093857023865
lowLevel.spectral_centroid.stdev,1.5610410198569298
lowLevel.scvalleys.stdev.0,1.5019939247285947
lowLevel.scvalleys.mean.4,1.4285190347582102
lowLevel.barkbands.mean.5,1.34169776563067
lowLevel.barkbands.stdev.1,1.2863208735361695
lowLevel.mfcc.stdev.2,1.27277354686521
lowLevel.zerocrossingrate.stdev,1.1976915947161615
lowLevel.mfcc.stdev.5,1.1877844682894647
lowLevel.mfcc.stdev.6,1.1807165992213413
sfx.tristimulus.stdev.1,1.1613335230504163
lowLevel.spectral_flux.mean,1.1482052819337696
lowLevel.spectral_decrease.mean,1.1480068966047838
lowLevel.pitch_instantaneous_confidence.mean,1.142307777889073
lowLevel.spectral_rms.mean,1.124904882744886
lowLevel.barkbands.stdev.10,1.0878804582171142
lowLevel.spectral_rolloff.stdev,1.0634444262832403
lowLevel.barkbands.stdev.5,1.0203085049288347
lowLevel.spectral_skewness.mean,1.0073008835315704
lowLevel.spectral_skewness.stdev,0.996373108937405
lowLevel.barkbands.mean.9,0.9849631150718778
lowLevel.pitch.mean,0.9217021116055548
lowLevel.sccoeffs.stdev.2,0.9075684666167945
lowLevel.scvalleys.mean.2,0.8508529488462955
lowLevel.barkbands.stdev.26,0.8364709704183042
lowLevel.spectral_energyband_middle_low.stdev,0.8183868883643299
lowLevel.barkbands.stdev.22,0.8103695763275027
lowLevel.barkbands.mean.15,0.7815993106923997
sfx.oddtoevenharmonicenergyratio.mean,0.7034340263344347
lowLevel.scvalleys.mean.3,0.6603005509823561
lowLevel.spectral_rms.stdev,0.6536031127907336
lowLevel.mfcc.stdev.4,0.6458146458026022
lowLevel.spectral_energyband_low.stdev,0.6161883589811623
lowLevel.barkbands.stdev.2,0.6077843210659921
lowLevel.spectral_flux.stdev,0.5860315675381571
sfx.oddtoevenharmonicenergyratio.stdev,0.5626203147694468
lowLevel.barkbands.mean.8,0.5470153565984219
lowLevel.sccoeffs.stdev.4,0.533986683934927
lowLevel.mfcc.mean.3,0.5205872890073806
lowLevel.spectral_decrease.stdev,0.5194848547689617
lowLevel.spectral_flatness_db.mean,0.5174326808191836
lowLevel.barkbands.mean.2,0.5136929183499888
lowLevel.spectral_energy.stdev,0.5116899707354605
lowLevel.barkbands.stdev.18,0.49859447311609983
lowLevel.barkbands.stdev.12,0.4981861317064613
lowLevel.barkbands.mean.25,0.4949265378527343
lowLevel.spectral_spread.stdev,0.43576149200089276
lowLevel.mfcc.mean.6,0.4343560665147379
lowLevel.barkbands.mean.7,0.4176147188991308
