,importance
lowLevel.hfc.mean,412.4494809166463
lowLevel.spectral_energy.mean,123.29918805212219
lowLevel.spectral_complexity.stdev,47.39846365331323
lowLevel.hfc.stdev,34.47666754825332
lowLevel.spectral_energyband_middle_high.mean,17.76554589263833
lowLevel.spectral_complexity.mean,15.445177069152123
lowLevel.barkbands.stdev.12,9.677393054014829
lowLevel.spectral_energyband_middle_low.mean,8.105076747509884
lowLevel.spectral_energyband_middle_high.stdev,7.114221190742683
lowLevel.silence_rate_60dB.mean,6.751185840679682
lowLevel.spectral_strongpeak.mean,5.509972409035981
lowLevel.barkbands.stdev.7,4.663718672567484
lowLevel.spectral_energyband_middle_low.stdev,3.8176299000733707
lowLevel.pitch_instantaneous_confidence.stdev,2.990586809202796
lowLevel.spectral_energyband_high.mean,2.706067643041024
lowLevel.barkbands.stdev.11,2.655733624851564
lowLevel.barkbands.stdev.25,2.6419898825406563
lowLevel.barkbands.stdev.26,2.1664054687826138
lowLevel.barkbands.mean.13,2.132043889374472
lowLevel.sccoeffs.mean.4,2.0882862687285524
lowLevel.spectral_strongpeak.stdev,2.078450179378706
lowLevel.barkbands.mean.8,2.071004441499099
lowLevel.spectral_energy.stdev,2.054478251848195
lowLevel.mfcc.stdev.8,1.7991615461651236
lowLevel.barkbands.stdev.6,1.7322650060996239
lowLevel.barkbands.stdev.8,1.7227702921372838
lowLevel.spectral_rms.stdev,1.6810056248723413
lowLevel.barkbands.mean.25,1.6287247888067213
lowLevel.barkbands.mean.18,1.6021159328374779
lowLevel.barkbands.mean.17,1.5919252157618757
lowLevel.mfcc.mean.0,1.5535757232501055
lowLevel.mfcc.stdev.10,1.517059643229004
lowLevel.barkbands.mean.16,1.3489663105792715
lowLevel.barkbands.mean.4,1.2964574679353973
lowLevel.sccoeffs.mean.2,1.2687437852291623
lowLevel.spectral_decrease.mean,1.2621264910849277
lowLevel.scvalleys.stdev.3,1.238639434450306
lowLevel.sccoeffs.mean.3,1.2209518222589395
lowLevel.barkbands.mean.15,1.1949989074782934
lowLevel.barkbands.stdev.5,1.1351479357108474
lowLevel.spectral_skewness.stdev,1.134558890498738
lowLevel.mfcc.stdev.9,1.1292981572478311
lowLevel.pitch.mean,1.10505421293783
lowLevel.barkbands.mean.10,1.0938735212766915
lowLevel.barkbands.mean.12,1.0788056938326918
lowLevel.barkbands.mean.26,1.0759059611445991
lowLevel.barkbands.mean.11,1.0363711887366662
lowLevel.barkbands.stdev.17,0.9690954906691331
lowLevel.mfcc.stdev.11,0.9650222136951925
lowLevel.barkbands.stdev.13,0.9012007812088996
lowLevel.spectral_energyband_high.stdev,0.8934942096457235
lowLevel.barkbands.stdev.21,0.869179551351408
lowLevel.sccoeffs.mean.5,0.8511888364701008
lowLevel.barkbands.mean.7,0.7676784738832794
lowLevel.barkbands.stdev.4,0.7486495217162883
lowLevel.spectral_kurtosis.mean,0.7386032202339265
