,importance
lowLevel.hfc.mean,575.953042877637
lowLevel.spectral_energy.mean,161.70062107918784
lowLevel.spectral_complexity.stdev,31.35449556234562
lowLevel.spectral_complexity.mean,12.731528271455318
lowLevel.hfc.stdev,12.234015538590029
lowLevel.spectral_energyband_middle_high.stdev,11.851356081198901
lowLevel.spectral_energyband_middle_high.mean,9.80524179758504
lowLevel.silence_rate_60dB.mean,8.547309212764958
lowLevel.spectral_energyband_middle_low.mean,3.239035605743993
lowLevel.barkbands.stdev.6,3.1982143267523497
lowLevel.barkbands.stdev.8,2.9298030138015747
lowLevel.barkbands.stdev.9,2.589055384276435
lowLevel.barkbands.stdev.12,2.311305419570999
lowLevel.barkbands.stdev.26,2.1103990832343698
lowLevel.barkbands.mean.26,2.067873283755034
lowLevel.barkbands.stdev.11,1.9168813492287882
lowLevel.mfcc.stdev.0,1.5155220446176827
lowLevel.barkbands.mean.9,1.4970303801819682
lowLevel.barkbands.stdev.25,1.2500267028808594
lowLevel.mfcc.stdev.8,1.0463048558449373
lowLevel.mfcc.stdev.9,0.9753700249275425
lowLevel.barkbands.mean.12,0.9142811232086387
lowLevel.mfcc.stdev.10,0.8739669274073094
lowLevel.spectral_energyband_middle_low.stdev,0.8369541855136049
lowLevel.spectral_strongpeak.mean,0.7687525907531381
lowLevel.barkbands.mean.11,0.7245017285458744
lowLevel.barkbands.mean.7,0.656153145711869
lowLevel.spectral_strongpeak.stdev,0.6170917467679828
lowLevel.mfcc.mean.0,0.5397436646744609
lowLevel.scvalleys.stdev.4,0.4983809086322708
lowLevel.pitch_instantaneous_confidence.stdev,0.4446733486784069
lowLevel.barkbands.stdev.5,0.43527261447161436
sfx.tristimulus.stdev.1,0.41168603766709566
lowLevel.barkbands.stdev.10,0.4101007721037604
lowLevel.barkbands.mean.25,0.3890825118869543
lowLevel.sccoeffs.mean.2,0.3735449423547834
lowLevel.sccoeffs.mean.1,0.34631460532546043
lowLevel.barkbands.mean.2,0.3236089013516903
lowLevel.spectral_spread.mean,0.29269909719005227
lowLevel.barkbands.mean.5,0.2878376456355909
lowLevel.mfcc.stdev.7,0.24958036985481158
lowLevel.mfcc.mean.8,0.23756104812491685
lowLevel.spectral_decrease.stdev,0.23073399811983109
lowLevel.barkbands.stdev.13,0.19021105533465743
lowLevel.barkbands.stdev.7,0.1813143182080239
lowLevel.spectral_kurtosis.mean,0.17464250326156616
lowLevel.barkbands.mean.3,0.16752303787507117
lowLevel.spectral_crest.stdev,0.16365611006040126
lowLevel.barkbands.stdev.3,0.16122139990329742
lowLevel.spectral_rms.stdev,0.15968020306900144
lowLevel.sccoeffs.stdev.2,0.15723750858160201
lowLevel.barkbands.stdev.4,0.15668025583727285
lowLevel.mfcc.stdev.1,0.1557387989014387
lowLevel.barkbands.mean.8,0.15538250131066889
lowLevel.scvalleys.stdev.3,0.14448465954046696
lowLevel.scvalleys.stdev.2,0.13751431989658158
lowLevel.mfcc.mean.2,0.1361234998330474
lowLevel.sccoeffs.stdev.5,0.12108159810304642
lowLevel.spectral_rolloff.mean,0.11445869877934456
lowLevel.mfcc.stdev.6,0.09845520183444023
lowLevel.scvalleys.mean.2,0.09613330289721489
lowLevel.sccoeffs.mean.3,0.0934036010876298
sfx.oddtoevenharmonicenergyratio.stdev,0.09273604862391949
lowLevel.mfcc.stdev.12,0.09177708276547492
lowLevel.barkbands.stdev.14,0.08493158419150859
lowLevel.scvalleys.stdev.1,0.08152530586812645
lowLevel.mfcc.stdev.11,0.07646549679338932
sfx.oddtoevenharmonicenergyratio.mean,0.0763102793134749
lowLevel.spectral_energyband_high.mean,0.07227810099720955
lowLevel.mfcc.mean.11,0.07009996753185987
lowLevel.barkbands.mean.15,0.06744272780451865
lowLevel.spectral_skewness.mean,0.06545999646186829
lowLevel.mfcc.mean.5,0.056849739979952574
lowLevel.barkbands.mean.14,0.052034630556590855
lowLevel.dissonance.mean,0.051999300718307495
lowLevel.barkbands.mean.13,0.05186207139195176
lowLevel.mfcc.mean.6,0.0516589789185673
lowLevel.sccoeffs.stdev.4,0.05030580051243305
lowLevel.silence_rate_60dB.stdev,0.04914860054850578
lowLevel.mfcc.stdev.4,0.04102509841322899
lowLevel.barkbands.stdev.0,0.03959290124475956
lowLevel.mfcc.mean.7,0.03422387037426233
lowLevel.spectral_flux.stdev,0.029725687578320503
lowLevel.mfcc.mean.10,0.028948400169610977
lowLevel.pitch_salience.mean,0.028395390254445374
sfx.tristimulus.stdev.0,0.024429450277239084
lowLevel.barkbands.mean.10,0.02017785474890843
lowLevel.spectral_crest.mean,0.019713599234819412
lowLevel.mfcc.mean.12,0.019637899473309517
lowLevel.spectral_energy.stdev,0.018876399844884872
lowLevel.mfcc.mean.1,0.018603499978780746
lowLevel.barkbands.stdev.16,0.016165899112820625
lowLevel.barkbands.mean.6,0.015301969717256725
lowLevel.scvalleys.mean.3,0.01409232965670526
lowLevel.spectral_rms.mean,0.012623874165001325
lowLevel.barkbands.mean.18,0.012279200367629528
lowLevel.barkbands.mean.16,0.009886569809168577
lowLevel.spectral_energyband_low.mean,0.009686239995062351
lowLevel.barkbands.mean.17,0.00897914997767657
lowLevel.barkbands.stdev.2,0.008347499882802367
lowLevel.sccoeffs.stdev.3,0.004924539942294359
lowLevel.scvalleys.stdev.0,0.003393509890884161
lowLevel.barkbands.mean.19,0.003033980028703809
lowLevel.barkbands.mean.24,0.001461439998820424
lowLevel.barkbands.mean.4,0.0005748880212195218
lowLevel.spectral_skewness.stdev,0.0
lowLevel.spectral_rolloff.stdev,0.0
lowLevel.spectral_centroid.stdev,0.0
lowLevel.spectral_centroid.mean,0.0
sfx.inharmonicity.stdev,0.0
lowLevel.spectral_decrease.mean,0.0
lowLevel.spectral_spread.stdev,0.0
sfx.tristimulus.mean.2,0.0
sfx.inharmonicity.mean,0.0
lowLevel.spectral_energyband_high.stdev,0.0
lowLevel.zerocrossingrate.mean,0.0
sfx.tristimulus.mean.1,0.0
lowLevel.spectral_energyband_low.stdev,0.0
sfx.tristimulus.mean.0,0.0
lowLevel.zerocrossingrate.stdev,0.0
lowLevel.spectral_flatness_db.mean,0.0
lowLevel.spectral_flatness_db.stdev,0.0
lowLevel.spectral_flux.mean,0.0
lowLevel.spectral_kurtosis.stdev,0.0
lowLevel.barkbands.mean.0,0.0
lowLevel.silence_rate_30dB.stdev,0.0
lowLevel.barkbands.stdev.21,0.0
lowLevel.barkbands_spread.stdev,0.0
lowLevel.barkbands_spread.mean,0.0
lowLevel.barkbands_skewness.stdev,0.0
lowLevel.barkbands_skewness.mean,0.0
lowLevel.barkbands_kurtosis.stdev,0.0
lowLevel.barkbands_kurtosis.mean,0.0
