,importance
lowLevel.hfc.mean,154.09340193631942
lowLevel.hfc.stdev,25.904728959241766
lowLevel.spectral_energyband_middle_high.mean,19.23934156386531
lowLevel.spectral_energy.mean,15.914231284637935
lowLevel.spectral_complexity.stdev,10.823821452533593
lowLevel.spectral_complexity.mean,9.495366322655173
lowLevel.spectral_strongpeak.mean,6.648412598100549
lowLevel.spectral_energyband_middle_high.stdev,4.787042894706246
lowLevel.barkbands.mean.11,3.486966901091364
lowLevel.spectral_strongpeak.stdev,2.2842934945656452
lowLevel.spectral_energyband_high.mean,2.07425550246262
lowLevel.barkbands.mean.5,1.943749529978959
lowLevel.barkbands.stdev.7,1.9392915439093485
lowLevel.barkbands.mean.17,1.9142237199121155
lowLevel.barkbands.mean.18,1.8045849259688111
lowLevel.barkbands.stdev.8,1.6377919046208262
lowLevel.barkbands.mean.9,1.4935777396021876
lowLevel.barkbands.mean.19,1.4775504015706247
lowLevel.barkbands.mean.6,1.326312008081004
lowLevel.barkbands.stdev.11,1.3061682275510975
lowLevel.barkbands.mean.12,1.0448284404992592
lowLevel.mfcc.stdev.9,1.0207825061588665
lowLevel.spectral_rms.stdev,1.0041313508263556
lowLevel.barkbands.mean.25,0.9907721914350986
lowLevel.barkbands.stdev.9,0.9882485749112675
lowLevel.spectral_energy.stdev,0.9501105044037104
lowLevel.barkbands.stdev.6,0.9372657151398016
lowLevel.barkbands.mean.16,0.9312735479325056
lowLevel.barkbands.mean.7,0.9287728300841991
lowLevel.mfcc.mean.0,0.9186248155019712
lowLevel.spectral_rms.mean,0.901329501386499
lowLevel.barkbands.mean.15,0.7680506247706944
lowLevel.barkbands.mean.10,0.6875978292373475
lowLevel.mfcc.stdev.8,0.6869764572038548
lowLevel.barkbands.mean.26,0.6513587830413599
lowLevel.sccoeffs.mean.5,0.635436732256494
lowLevel.spectral_energyband_middle_low.mean,0.6203912718192441
lowLevel.zerocrossingrate.mean,0.6201654100586893
lowLevel.zerocrossingrate.stdev,0.6001674783765338
lowLevel.sccoeffs.mean.4,0.571942164824577
lowLevel.pitch_instantaneous_confidence.stdev,0.5698671253630891
lowLevel.mfcc.stdev.10,0.5691745579715644
lowLevel.sccoeffs.mean.3,0.565735590265831
lowLevel.spectral_centroid.mean,0.5620610865298659
lowLevel.scvalleys.mean.4,0.5525229130726075
lowLevel.barkbands.mean.8,0.5123931050184183
lowLevel.spectral_skewness.stdev,0.5011456976062618
lowLevel.spectral_energyband_middle_low.stdev,0.4886733737657778
lowLevel.spectral_centroid.stdev,0.4841633350297343
lowLevel.barkbands.stdev.4,0.4800503525984823
lowLevel.barkbands.mean.20,0.4734843692567665
